username,champion,podium,points,updated_at,rank_history,paid,group_code
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",24,2026-06-26T00:59:39.364+00:00,[],false,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",112,2026-06-26T02:04:11.725+00:00,[],true,default
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-26T00:59:39.364+00:00,[],false,default
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-26T00:59:39.737+00:00,[],false,EDWIN-LEAGUE
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-26T00:59:39.737+00:00,[],false,EDWIN-LEAGUE
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-06-26T00:59:39.737+00:00,[],false,EDWIN-LEAGUE
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",120,2026-06-26T00:59:39.364+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",112,2026-06-26T00:59:39.364+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",108,2026-06-26T00:59:39.364+00:00,[],true,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",112,2026-06-26T00:59:39.364+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",110,2026-06-26T00:59:39.364+00:00,[],false,default
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",108,2026-06-26T00:59:39.364+00:00,[],true,default
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",100,2026-06-26T00:59:39.364+00:00,[],true,default
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",100,2026-06-26T00:59:39.364+00:00,[],true,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",102,2026-06-26T00:59:39.364+00:00,[],true,default
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",118,2026-06-26T01:44:17.315+00:00,[],true,default
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",112,2026-06-26T01:02:15.288+00:00,[],true,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",92,2026-06-26T00:59:39.364+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",88,2026-06-26T00:59:39.364+00:00,[],true,default
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",86,2026-06-26T00:59:39.364+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",104,2026-06-26T01:50:05.066+00:00,[],false,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",96,2026-06-26T00:59:39.364+00:00,[],true,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",98,2026-06-26T00:59:39.364+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",90,2026-06-26T00:59:39.364+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",108,2026-06-26T01:17:28.374+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",116,2026-06-26T02:04:07.779+00:00,[],true,default
