username,champion,podium,points,updated_at,rank_history,paid,group_code
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",146,2026-07-03T06:14:26.074+00:00,[],true,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",140,2026-07-03T06:14:26.074+00:00,[],true,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",24,2026-07-03T06:14:26.074+00:00,[],false,default
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-07-03T06:14:25.717+00:00,[],false,EDWIN-LEAGUE
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-07-03T06:14:25.717+00:00,[],false,EDWIN-LEAGUE
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-07-03T06:14:26.074+00:00,[],false,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",182,2026-07-03T06:24:03.934+00:00,[],true,default
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-07-03T06:14:25.717+00:00,[],false,EDWIN-LEAGUE
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",188,2026-07-03T06:14:26.074+00:00,[],true,default
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",188,2026-07-03T06:14:26.074+00:00,[],true,default
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",178,2026-07-03T06:14:26.074+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",172,2026-07-03T06:14:26.074+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",170,2026-07-03T06:14:26.074+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",168,2026-07-03T06:14:26.074+00:00,[],true,default
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",168,2026-07-03T06:14:26.074+00:00,[],true,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",166,2026-07-03T06:14:26.074+00:00,[],true,default
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",166,2026-07-03T06:14:26.074+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",164,2026-07-03T06:14:26.074+00:00,[],false,default
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",162,2026-07-03T06:14:26.074+00:00,[],true,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",158,2026-07-03T06:14:26.074+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",148,2026-07-03T06:14:26.074+00:00,[],true,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",182,2026-07-03T06:14:26.074+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",172,2026-07-03T06:14:26.074+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",168,2026-07-03T06:14:26.074+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",158,2026-07-03T06:14:26.074+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",146,2026-07-03T06:14:26.074+00:00,[],true,default
