username,champion,podium,points,updated_at,rank_history,paid,group_code
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",178,2026-07-07T22:51:40.424+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",172,2026-07-07T22:51:40.424+00:00,[],false,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",202,2026-07-07T23:02:43.566+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",172,2026-07-07T22:51:40.424+00:00,[],true,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",154,2026-07-07T22:51:40.424+00:00,[],true,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",24,2026-07-07T22:51:40.424+00:00,[],false,default
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-07-07T22:51:40.424+00:00,[],false,default
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
Where'sTheLahmSauce!,?,"{""first"":""?"",""third"":""?"",""second"":""?""}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
Julyan Letona,?,"{""first"":""?"",""third"":""?"",""second"":""?""}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",208,2026-07-07T22:51:40.424+00:00,[],true,default
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",204,2026-07-07T22:51:40.424+00:00,[],true,default
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",194,2026-07-07T22:51:40.424+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",194,2026-07-07T22:51:40.424+00:00,[],true,default
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",194,2026-07-07T22:51:40.424+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",196,2026-07-07T22:51:40.424+00:00,[],true,default
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",190,2026-07-07T22:51:40.424+00:00,[],true,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",186,2026-07-07T22:51:40.424+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",184,2026-07-07T22:51:40.424+00:00,[],true,default
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",174,2026-07-07T22:51:40.424+00:00,[],true,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",174,2026-07-07T22:51:40.424+00:00,[],true,default
Wheresthelahmsauce,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
Where'sTheLahmSauce,?,"{""first"":""?"",""third"":""?"",""second"":""?""}",0,2026-07-07T22:51:40.032+00:00,[],false,EDWIN-LEAGUE
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",200,2026-07-07T22:51:40.424+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",198,2026-07-07T22:51:40.424+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",182,2026-07-07T22:51:40.424+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",176,2026-07-07T22:51:40.424+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",172,2026-07-07T22:51:40.424+00:00,[],true,default
