username,champion,podium,points,updated_at,rank_history,paid,group_code
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",80,2026-06-23T22:02:07.825+00:00,[],true,default
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",78,2026-06-23T22:38:34.961+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",78,2026-06-23T22:02:07.825+00:00,[],false,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",76,2026-06-23T22:02:07.825+00:00,[],true,default
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",76,2026-06-23T22:02:07.825+00:00,[],true,default
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",88,2026-06-23T22:43:56.543+00:00,[],true,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",88,2026-06-23T22:46:30.778+00:00,[],true,default
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",68,2026-06-23T22:02:07.825+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",68,2026-06-23T22:02:07.825+00:00,[],true,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",22,2026-06-23T22:02:07.825+00:00,[],false,default
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-23T22:02:07.653+00:00,[],false,EDWIN-LEAGUE
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-23T22:02:07.653+00:00,[],false,EDWIN-LEAGUE
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-06-23T22:02:07.653+00:00,[],false,EDWIN-LEAGUE
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",100,2026-06-23T22:02:07.825+00:00,[],true,default
armen,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-23T22:02:07.825+00:00,[],false,default
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-23T22:02:07.825+00:00,[],false,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",88,2026-06-23T22:02:07.825+00:00,[],false,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",72,2026-06-23T22:02:14.5+00:00,[],true,default
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",94,2026-06-23T22:06:46.355+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",86,2026-06-23T22:02:07.825+00:00,[],true,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",82,2026-06-23T22:02:07.825+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",80,2026-06-23T22:02:07.825+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",78,2026-06-23T22:02:07.825+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",64,2026-06-23T22:02:07.825+00:00,[],true,default
Germany Fan Since 1982,?,"{""first"":""?"",""third"":""?"",""second"":""?""}",0,2026-06-23T22:56:35.262+00:00,[],false,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",68,2026-06-23T23:03:37.468+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",84,2026-06-23T23:15:02.027+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",86,2026-06-23T23:16:06.416+00:00,[],true,default
