username,champion,podium,points,updated_at,rank_history,paid,group_code
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",64,2026-06-21T04:29:35.688+00:00,[],true,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",62,2026-06-21T04:31:50.242+00:00,[],true,default
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",62,2026-06-21T03:17:23.581+00:00,[],true,default
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",78,2026-06-21T04:46:13.226+00:00,[],true,default
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",60,2026-06-21T03:17:23.581+00:00,[],true,default
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",54,2026-06-21T04:46:39.533+00:00,[],true,default
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",68,2026-06-21T04:52:03.318+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",60,2026-06-21T03:17:23.581+00:00,[],false,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",60,2026-06-21T03:17:23.581+00:00,[],true,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",58,2026-06-21T03:17:23.581+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",54,2026-06-21T03:17:23.581+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",54,2026-06-21T03:17:23.581+00:00,[],false,default
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",50,2026-06-21T03:17:23.581+00:00,[],true,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",48,2026-06-21T03:17:23.581+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",40,2026-06-21T03:17:23.581+00:00,[],true,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",22,2026-06-21T03:17:23.581+00:00,[],false,default
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-21T03:17:23.581+00:00,[],false,default
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-21T03:17:23.921+00:00,[],false,EDWIN-LEAGUE
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-06-21T03:17:23.921+00:00,[],false,EDWIN-LEAGUE
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-21T03:17:23.921+00:00,[],false,EDWIN-LEAGUE
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",60,2026-06-21T03:35:48.477+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",58,2026-06-21T03:17:23.581+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",56,2026-06-21T03:17:23.581+00:00,[],true,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",46,2026-06-21T03:17:23.581+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",46,2026-06-21T03:17:23.581+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",54,2026-06-21T03:25:30.237+00:00,[],true,default
