username,champion,podium,points,updated_at,rank_history,paid,group_code
Joseph blank,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-06T13:46:21.837+00:00,[],false,default
Arash,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-01T08:39:16.925+00:00,[],false,default
Arby G,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-28T23:48:20.54+00:00,[],false,default
Sohrab,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-31T00:12:16.89+00:00,[],false,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Norway"",""second"":""Argentina""}",0,2026-05-24T19:19:44.836+00:00,[],true,default
Art,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-01T05:00:41.067+00:00,[],false,default
Where'sTheLahmSauce,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-06T19:34:50.879+00:00,[],false,default
Edwin,?,"{""first"":""?"",""third"":""?"",""second"":""?""}",0,2026-06-06T03:13:57.245+00:00,[],false,EDWIN-LEAGUE
Germany Fan Since 82,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-06T03:32:12.511+00:00,[],true,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain""}",0,2026-06-06T21:13:40.107+00:00,[],true,default
OliCR7,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-31T23:44:13.093+00:00,[],true,default
Edwin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain""}",0,2026-06-05T19:30:41.942+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain""}",0,2026-06-06T20:47:36.602+00:00,[],true,default
Verj,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-04T05:27:09.657+00:00,[],true,default
Andre G,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-06T04:15:30.312+00:00,[],false,default
