username,champion,podium,points,updated_at,rank_history,paid,group_code
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",130,2026-06-28T00:16:36.18+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",126,2026-06-28T00:16:36.18+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",126,2026-06-28T00:16:36.18+00:00,[],false,default
Zareh,England,"{""first"":""England"",""third"":""Portugal"",""second"":""France"",""topScorer"":""Kylian Mbappe ""}",124,2026-06-28T00:16:36.18+00:00,[],true,default
Armen B,Brazil,"{""first"":""Brazil"",""third"":""Germany"",""second"":""Spain"",""topScorer"":""Lamine yamal ""}",122,2026-06-28T00:16:36.18+00:00,[],true,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",118,2026-06-28T00:16:36.18+00:00,[],true,default
Art,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Germany"",""topScorer"":""Mbappe""}",120,2026-06-28T00:16:36.18+00:00,[],true,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",108,2026-06-28T00:16:36.18+00:00,[],true,default
Verj,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""Argentina"",""topScorer"":""Messi""}",104,2026-06-28T00:16:36.18+00:00,[],true,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",24,2026-06-28T00:16:36.18+00:00,[],false,default
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-28T00:16:36.18+00:00,[],false,default
Edwin,Brazil,"{""first"":""Brazil"",""third"":""Argentina"",""second"":""France""}",0,2026-06-28T00:16:36.463+00:00,[],false,EDWIN-LEAGUE
Edwin N,France,"{""first"":""France"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbappe""}",148,2026-06-28T00:16:36.18+00:00,[],true,default
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Norway"",""second"":""France"",""topScorer"":""Erling Haaland ""}",138,2026-06-28T00:16:36.18+00:00,[],true,default
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",136,2026-06-28T00:16:36.18+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",134,2026-06-28T00:16:36.18+00:00,[],true,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",134,2026-06-28T00:16:36.18+00:00,[],false,default
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-28T00:16:36.463+00:00,[],false,EDWIN-LEAGUE
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-28T00:16:36.463+00:00,[],false,EDWIN-LEAGUE
Vazrik,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",134,2026-06-28T00:16:36.18+00:00,[],true,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",146,2026-06-28T00:19:57.725+00:00,[],true,default
Andre G,Argentina,"{""first"":""Argentina"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Lionel Messi""}",134,2026-06-28T00:16:36.18+00:00,[],true,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Messi""}",130,2026-06-28T00:16:36.18+00:00,[],true,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",128,2026-06-28T00:16:36.18+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",118,2026-06-28T00:16:36.18+00:00,[],true,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",116,2026-06-28T00:16:36.18+00:00,[],true,default
